Section,Databundelcode,Record ID,Uitvalreden,Informatie
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189493T107199N_835,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189493T138333N_837,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189493T139604N_844,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189493T140302N_850,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189493T141587N_857,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494O_860,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T107199N_862,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T107277N_864,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T107381N_866,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T107388N_868,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T107392N_870,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T124929N_872,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T138333N_874,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T139604N_903,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T140301N_906,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T140302N_908,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189494T141587N_911,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495O_916,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T107199N_918,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T107381N_920,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T107388N_922,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T107392N_924,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T123776N_926,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T124929N_928,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T138333N_930,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T140301N_933,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189495T141908N_937,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499O_1104,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T107199N_1106,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T107388N_1108,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T138333N_1110,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T139604N_1139,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T140295N_1192,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T140302N_1194,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T141433N_1230,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T141579N_1234,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T141587N_1260,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189499T141595N_1301,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189504O_1502,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189504T140301N_1505,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506O_1541,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T107199N_1543,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T107388N_1545,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T1360N_1547,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T138333N_1549,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T139604N_1552,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T140302N_1558,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T141579N_1567,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T141587N_1586,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189506T141595N_1591,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189510O_1675,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189510T107381N_1678,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189510T107388N_1680,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189510T138333N_1682,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189512O_1701,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189512T107388N_1704,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189512T138333N_1706,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189512T140301N_1709,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189512T141579N_1721,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189512T141595N_1724,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515O_1822,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T107199N_1824,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T107232N_1825,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T107388N_1827,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T107400N_1829,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T124929N_1831,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T138333N_1833,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189515T141595N_1842,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521O_2222,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
Kolomwaarde controle,WMR_2024_01 Noordzeebenthos bodemschaaf_tijdkolom_3031,IMA2024_189521T107199N_2224,ongeldige code,Waardebewerkingsmethode 'NVT' niet in: {nan}
